Date,YouTube,Netflix,Disney+,HBO Max,Amazon Prime
2020-01,2000,1500,100,200,800
2020-02,2100,1600,200,250,850
2020-03,2200,1700,400,300,900
2020-04,2300,1800,800,350,950
2020-05,2400,1900,1600,400,1000
2020-06,2500,2000,2400,450,1050
2020-07,2600,2100,2800,500,1100
2020-08,2700,2200,3200,550,1150
2020-09,2800,2300,3600,600,1200
2020-10,2900,2400,4000,650,1250
2020-11,3000,2500,4400,700,1300
2020-12,3100,2600,4800,750,1350
2021-01,3200,2700,4900,800,1400
2021-02,3300,2800,4950,850,1450
2021-03,3400,2900,4980,900,1500
2021-04,3500,3000,4990,950,1550
2021-05,3600,3100,5000,1000,1600
2021-06,3700,3200,5100,1050,1650
2021-07,3800,3300,5200,1100,1700
2021-08,3900,3400,5300,1150,1750
2021-09,4000,3500,5400,1200,1800
2021-10,4100,3600,5500,1250,1850
2021-11,4200,3700,5600,1300,1900
2021-12,4300,3800,5700,1350,1950
2022-01,4400,3900,5800,1400,2000
2022-02,4500,4000,5900,1450,2050
2022-03,4600,4100,6000,1500,2100
2022-04,4700,4200,6100,1550,2150
2022-05,4800,4300,6200,1600,2200
2022-06,4900,4400,6300,1650,2250
2022-07,5000,4500,6400,1700,2300
2022-08,4900,4600,6500,1750,2350
2022-09,4800,4700,6600,1800,2400
2022-10,4700,4800,6700,1850,2450
2022-11,4600,4900,6800,1900,2500
2022-12,4500,5000,6900,1950,2550
2023-01,4400,5100,7000,2000,2600
2023-02,4300,5200,7100,2050,2650
2023-03,4200,5300,7200,2100,2700
2023-04,4100,5400,7300,2150,2750
2023-05,4000,5500,7400,2200,2800
2023-06,3900,5600,7500,2250,2850
2023-07,3800,5700,7600,2300,2900
2023-08,3700,5800,7700,2350,2950
2023-09,3600,5900,7800,2400,3000
2023-10,3500,6000,7900,2450,3050
2023-11,3400,6100,8000,2500,3100
2023-12,3300,6200,8100,2550,3150
2024-01,3200,6300,8200,2600,3200
2024-02,3100,6400,8300,2650,3250
2024-03,3000,6500,8400,2700,3300
2024-04,2900,6600,8500,2750,3350
2024-05,2800,6700,8600,2800,3400
2024-06,2700,6800,8700,2850,3450
2024-07,2600,6900,8800,2900,3500
2024-08,2500,7000,8900,2950,3550
2024-09,2400,7100,9000,3000,3600
2024-10,2300,7200,9100,3050,3650
2024-11,2200,7300,9200,3100,3700
2024-12,2100,7400,9300,3150,3750
2025-01,2000,7500,9400,3200,3800
2025-02,1900,7600,9500,3250,3850
2025-03,1800,7700,9600,3300,3900
2025-04,1700,7800,9700,3350,3950
2025-05,1600,7900,9800,3400,4000
2025-06,1500,8000,9900,3450,4050
2025-07,1400,8100,9950,3500,4100
2025-08,1300,8200,9980,3550,4150
2025-09,1200,8300,9990,3600,4200
2025-10,1100,8400,10000,3650,4250
2025-11,1000,8500,10100,3700,4300
2025-12,900,8600,10200,3750,4350
2026-01,800,8700,10300,3800,4400
2026-02,700,8800,10400,3850,4450
2026-03,600,8900,10500,3900,4500
2026-04,500,9000,10600,3950,4550
2026-05,400,9100,10700,4000,4600
2026-06,300,9200,10800,4050,4650
2026-07,200,9300,10900,4100,4700
2026-08,100,9400,11000,4150,4750
2026-09,50,9500,11100,4200,4800
2026-10,100,9600,11200,4250,4850
2026-11,200,9700,11300,4300,4900
2026-12,400,9800,11400,4350,4950
2027-01,800,9900,11500,4400,5000
2027-02,1600,10000,11600,4450,5050
2027-03,3200,10100,11700,4500,5100
2027-04,6400,10200,11800,4550,5150
2027-05,12800,10300,11900,4600,5200
2027-06,12900,10400,12000,4650,5250
2027-07,13000,10500,12100,4700,5300
2027-08,13100,10600,12200,4750,5350
2027-09,13200,10700,12300,4800,5400
2027-10,13300,10800,12400,4850,5450
2027-11,13400,10900,12500,4900,5500
2027-12,13500,11000,12600,4950,5550 
