Date,YouTube,Netflix,Disney+,HBO Max,Amazon Prime
2020-01,2000,1500,0,200,800
2020-02,2100,1550,100,220,820
2020-03,2200,1600,200,240,840
2020-04,2300,1650,300,260,860
2020-05,2400,1700,400,280,880
2020-06,2500,1750,500,300,900
2020-07,2600,1800,600,320,920
2020-08,2700,1850,700,340,940
2020-09,2800,1900,800,360,960
2020-10,2900,1950,900,380,980
2020-11,3000,2000,1000,400,1000
2020-12,3100,2050,1100,420,1020
2021-01,3200,2100,1200,440,1040
2021-02,3300,2150,1300,460,1060
2021-03,3400,2200,1400,480,1080
2021-04,3500,2250,1500,500,1100
2021-05,3600,2300,1600,520,1120
2021-06,3700,2350,1700,540,1140
2021-07,3800,2400,1800,560,1160
2021-08,3900,2450,1900,580,1180
2021-09,4000,2500,2000,600,1200
2021-10,4100,2550,2100,620,1220
2021-11,4200,2600,2200,640,1240
2021-12,4300,2650,2300,660,1260
2022-01,4400,2700,2400,680,1280
2022-02,4500,2750,2500,700,1300
2022-03,4600,2800,2600,720,1320
2022-04,4700,2850,2700,740,1340
2022-05,4800,2900,2800,760,1360
2022-06,4900,2950,2900,780,1380
2022-07,5000,3000,3000,800,1400
2022-08,5100,3050,3100,820,1420
2022-09,5200,3100,3200,840,1440
2022-10,5300,3150,3300,860,1460
2022-11,5400,3200,3400,880,1480
2022-12,5500,3250,3500,900,1500
2023-01,5600,3300,3600,920,1520
2023-02,5700,3350,3700,940,1540
2023-03,5800,3400,3800,960,1560
2023-04,5900,3450,3900,980,1580
2023-05,6000,3500,4000,1000,1600
2023-06,6100,3550,4100,1020,1620
2023-07,6200,3600,4200,1040,1640
2023-08,6300,3650,4300,1060,1660
2023-09,6400,3700,4400,1080,1680
2023-10,6500,3750,4500,1100,1700
2023-11,6600,3800,4600,1120,1720
2023-12,6700,3850,4700,1140,1740
2024-01,6800,3900,4800,1160,1760
2024-02,6900,3950,4900,1180,1780
2024-03,7000,4000,5000,1200,1800
2024-04,7100,4050,5100,1220,1820
2024-05,7200,4100,5200,1240,1840
2024-06,7300,4150,5300,1260,1860
2024-07,7400,4200,5400,1280,1880
2024-08,7500,4250,5500,1300,1900
2024-09,7600,4300,5600,1320,1920
2024-10,7700,4350,5700,1340,1940
2024-11,7800,4400,5800,1360,1960
2024-12,7900,4450,5900,1380,1980 
