Date,YouTube,Netflix,Disney+,HBO Max,Amazon Prime
2020-01,2000,1500,0,200,800
2020-02,2200,1600,150,250,850
2020-03,2400,1700,300,300,900
2020-04,2600,1800,450,350,950
2020-05,2800,1900,600,400,1000
2020-06,3000,2000,750,450,1050
2020-07,3200,2100,900,500,1100
2020-08,3400,2200,1050,550,1150
2020-09,3600,2300,1200,600,1200
2020-10,3800,2400,1350,650,1250
2020-11,4000,2500,1500,700,1300
2020-12,4200,2600,1650,750,1350
2021-01,4400,2700,1800,800,1400
2021-02,4600,2800,2000,850,1450
2021-03,4800,2900,2200,900,1500
2021-04,5000,3000,2400,950,1550
2021-05,5200,3100,2600,1000,1600
2021-06,5400,3200,2800,1050,1650
2021-07,5600,3300,3000,1100,1700
2021-08,5800,3400,3400,1150,1750
2021-09,6000,3500,3600,1200,1800
2021-10,6200,3600,3800,1250,1850
2021-11,6400,3700,4000,1300,1900
2021-12,6600,3800,4200,1350,1950
2022-01,6800,3900,4400,1400,2000
2022-02,7000,4000,4600,1450,2050
2022-03,7200,4100,4800,1500,2100
2022-04,7400,4200,5000,1550,2150
2022-05,7600,4300,5200,1600,2200
2022-06,7800,4400,5400,1650,2250
2022-07,8000,4500,5600,1700,2300
2022-08,8200,4600,5800,1750,2350
2022-09,8400,4700,6000,1800,2400
2022-10,8600,4800,6200,1850,2450
2022-11,8800,4900,6400,1900,2500
2022-12,9000,5000,6600,1950,2550
2023-01,9200,5100,6800,2000,2600
2023-02,9400,5200,7000,2050,2650
2023-03,9600,5300,7200,2100,2700
2023-04,9800,5400,7400,2150,2750
2023-05,10000,5500,7600,2200,2800
2023-06,9800,5600,7800,2250,2850
2023-07,9600,5700,8000,2300,2900
2023-08,9400,5800,8200,2350,2950
2023-09,9200,5900,8400,2400,3000
2023-10,9000,6000,8600,2450,3050
2023-11,8800,6100,8800,2500,3100
2023-12,8600,6200,9000,2550,3150
2024-01,8400,6300,9200,2600,3200
2024-02,8200,6400,9400,2650,3250
2024-03,8000,6500,9600,2700,3300
2024-04,7800,6600,9800,2750,3350
2024-05,7600,6700,10000,2800,3400
2024-06,7400,6800,10200,2850,3450
2024-07,7200,6900,10400,2900,3500
2024-08,7000,7000,10600,2950,3550
2024-09,6800,7100,10800,3000,3600
2024-10,6600,7200,11000,3050,3650
2024-11,6400,7300,11200,3100,3700
2024-12,6200,7400,11400,3150,3750 
